labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
17,intra_B_N,BN_aniline_pseudocumyl_pseudocumyl_Me_Me.log,9.4,15.0,-38.28871755,-196.5837626,0.11659,-0.33695,2.887011035536061,369.359,166.3028876540269,86.66798886896282,94.09814538087466,1.02157,-0.56429,0.449904,-0.429717,0.4902653883543994,-0.2708104740688391,0.21591507119648942,-0.20622705432568247,-0.3993484806288331,-0.13393187264495662
18,intra_B_N,BN_benzyl_C5F5_C5F5_tetramethylpentane15.log,-15.1,12.3,-67.07197374,-197.1146361,0.05651,-2.04984,3.1780776434336846,575.3010316299999,81.26951872018672,58.28142338192224,142.65274283340707,0.99847,-0.59792,1.117783,-0.951968,0.3954267137342866,-0.23679583830861684,0.44267855654957294,-0.3770104037379204,-0.37570207489013946,-0.6696460982585205
19,intra_B_N,BN_cyclohexanetrans_C5F5_C5F5_butane14.log,-9.7,13.4,-62.0493837,-187.725204,0.0637,-0.34074,2.7252591687922085,497.18703163,141.9492866985954,83.45012869684233,101.9899647076538,1.11065,-0.57401,0.951536,-0.510394,0.5981658201963331,-0.3091461418546772,0.5124713563105732,-0.27488429805365083,-0.46786317705155406,-0.3564125355455541
20,intra_B_N,BN_cyclohexanetrans_C5F5_C5F5_pentane15.log,-8.4,16.9,-59.16974031,-188.1079851,0.10652,-0.40931,1.7900499614421383,511.2140316299998,161.27788405218365,51.59576459962078,129.13286041602348,0.75037,-0.54845,1.137417,-0.397319,0.9367099827956952,-0.6846470275521397,1.4198726741494612,-0.4959855453368376,-0.45980887166796847,-0.5049215326469622
21,intra_B_N,BN_dimethylphenylethyl_C5F5_C5F5_pentane15.log,-6.4,22.8,-59.15154252,-188.7034921,0.09835,-0.42073,1.755019345672577,561.2740316300001,151.1903845513499,50.506814634781676,131.18449287080423,0.78919,-0.56903,0.818295,-0.317787,1.0248911635825257,-0.7389777098206575,1.0626887247732015,-0.4126979411819715,-0.5117582171470613,-0.29634261731211103
22,intra_B_N,BN_methylethyl_C5F5_C5F5_pentane15.log,-9.9,18.9,-62.26963971,-187.5444811,0.11005,-0.41692,1.7482990844363557,471.14903162999997,153.32124057727003,48.94978282734824,132.45129503533917,0.7325,-0.56031,0.935476,-0.357052,0.9585972087706299,-0.7332581597901319,1.224224822487254,-0.46726150250644494,-0.4695158610488205,-0.3821011859188665
23,intra_B_N,BN_phenylethyl_C5F5_C5F5_ethyl_ethyl.log,-3.7,20.4,-56.77767219,-181.8316301,0.12742,-0.41267,1.7242176430207412,521.20903163,177.3930848457106,43.680821723040296,136.33105741945735,0.70248,-0.55371,1.006276,-0.349927,0.9451696900098364,-0.7450032870051055,1.3539197912884895,-0.47081823555983376,-0.45118457333326445,-0.40844396097826513
24,intra_B_N,BN_phenylethyl_C5F5_C5F5_pentane15.log,-10.6,17.0,-64.66359036,-189.4119508,0.10888,-0.62998,1.748068359832933,533.2200316300001,154.24319982604382,49.44883710709278,131.87325669489886,0.73324,-0.55414,1.084234,-0.319973,0.9598189405899865,-0.7253751401158354,1.4192738110736502,-0.41884805231220307,-0.4648761146146856,-0.3969245295591947
25,intra_B_N,BN_quinoline_mesityl_mesityl.log,12.2,20.0,-37.62230193,-198.4336621,0.12684,-0.42491,2.9058752441884015,377.338,105.99011614977968,124.70942894449155,88.27632104927052,1.13469,-0.45727,0.814935,-0.690485,0.5375059654062311,-0.21661013387031464,0.3860370884720293,-0.3270847601754854,-0.3571107860447156,-0.3872846190491979
3,intra_B_N,bicyclo_aniline.log,21.3,23.2,-41.611383,-178.9946573,0.10531,-0.3595,3.057554766069939,213.131,34.71127751471727,157.4487493366244,138.65743558466104,1.1313,-0.79872,0.329582,-0.872062,0.4840489573398474,-0.34174806258859974,0.1410181414814652,-0.3731288799042712,-0.5910552746444777,-0.18800378738820311
4,intra_B_N,ccl3_aniline.log,0.8,29.0,-72.32297742,-162.8632578,0.08045,-0.42422,1.6830167999212011,339.65299999999996,169.99194831413666,35.72563792543037,144.41505766490212,0.7061,-0.77327,0.452168,-0.256552,0.997124300853555,-1.0919789096743076,0.6385323620851866,-0.36229179101059517,-0.6488419450424547,-0.1378531750145707
5,intra_B_N,cf3_dimetriazole.log,-28.6,11.3,-87.71517021,-173.0872782,0.01052,-0.49903,2.5134722629346835,244.93541897800003,83.01314633617531,211.05869008831152,98.7552419535099,0.65502,-0.19479,-0.023777,-0.227882,0.4147308654781922,-0.12333276126911706,-0.015054587323249635,-0.14428521127126104,-0.1015259628534963,0.004311446276056083
6,intra_B_N,cf3_fnmeimidazole.log,-19.4,17.3,-83.25169158,-172.3342662,0.01333,-0.48544,2.5530457966239073,247.910822141,97.99782076093727,209.92900484531322,83.10218615505613,0.62262,-0.49433,0.0761,-0.624934,0.38209015516846345,-0.30336100093865687,0.04670113521621546,-0.3835102133404782,-0.24110789160695922,-0.037255483205893905
7,intra_B_N,cyclo5_benzopiperidine.log,11.7,18.4,-34.58515353,-192.6655902,0.1168,-0.30483,2.361878318983008,227.15800000000004,169.54090740786378,56.4940934456279,123.75534008745987,1.02486,-0.57168,0.510717,-0.579663,0.7348682689944579,-0.4099189079666995,0.3662058405402128,-0.4156430589642824,-0.49612375039902734,-0.25068501284898737
8,intra_B_N,oh_clmetriazole.log,29.6,45.5,-26.48964702,-185.4918959,0.057,-0.47837,2.5766867330562326,161.35199999999998,86.68362560608493,206.04225226605394,93.2270905239085,1.0775,-0.23761,0.72203,-0.291177,0.6491634018567412,-0.14315333263589816,0.43500273878665696,-0.17542594140365694,-0.19872402160143585,-0.16318516846681946
