family,file_name,free_ener_barr,free_ener_reac,labels,E$_{p}$(LA),E$_{p}$(LA)$^2$,E$_{p}$(LB),E$_{p}$(LB)$^2$,EF$_{la}$(ESP),EF$_{la}$(ESP)$^2$,EF$_{la}$(NPA),EF$_{la}$(NPA)$^2$,EF$_{lb}$(ESP),EF$_{lb}$(ESP)$^2$,EF$_{lb}$(NPA),EF$_{lb}$(NPA)$^2$,EP(ESP),EP(ESP)$^2$,EP(NPA),EP(NPA)$^2$,FEHA,FEHA$^2$,FEPA,FEPA$^2$,Mw,Mw$^2$,d,d$^2$,q$_{la}$(ESP),q$_{la}$(ESP)$^2$,q$_{la}$(NPA),q$_{la}$(NPA)$^2$,q$_{lb}$(ESP),q$_{lb}$(ESP)$^2$,q$_{lb}$(NPA),q$_{lb}$(NPA)$^2$,Φ,Φ$^2$,γ,γ$^2$,λ,λ$^2$
II,cf3_benzopiperidine.log,27.17689071,-9.2,73,0.09391,0.008819088099999999,-0.42398,0.17975904040000001,-0.11298048239845575,0.01276458940298777,0.6075442669552281,0.3691100363101655,-0.18522844662334795,0.03430957743849846,-0.711854350501673,0.5067366163281587,0.013493033382989328,0.00018206194987446442,-0.27884801423677963,0.07775621504379525,-66.5486304,4428.720208115803,-163.0282929,26578.22428588819,309.06241897799987,95519.57882453273,1.7278106932864492,2.9853297918350004,-0.084321,0.007110031040999999,0.45343,0.2055987649,-0.138242,0.019110850564,-0.53128,0.2822584384,132.80141348056353,17636.215422435598,179.4636076414519,32207.186467684987,47.199131593861495,2227.7580232146543
VIII,cf3_dibenzofuran.log,34.49114727,-11.5,110,0.00909,8.262810000000002e-05,-0.33301,0.11089566009999999,0.017969580857413514,0.0003229058361911222,0.09223092498254556,0.008506543523135948,-0.04822515542552706,0.0023256656158162415,-0.06955847634534429,0.004838381631485821,-0.019064724927053085,0.0003634637365441993,-0.1411385283632348,0.01992008418853963,-89.58703254,8025.836399323018,-184.5343156,34052.91363396041,359.0784189779999,128937.31097574002,5.604062657961186,31.405518274354993,0.141086,0.019905259395999998,0.72414,0.5243787396,-0.378634,0.143363705956,-0.54613,0.2982579769,53.93297851182688,2908.76617115718,173.43140372960315,30078.451799620605,126.43856290220755,15986.710188775496
I,cf3_metriazole.log,14.36752908,-25.5,37,0.00842,7.089640000000001e-05,-0.50602,0.2560562404,0.002384713677679732,5.686859324512792e-06,0.40724145880459817,0.16584560576929722,-0.1644345870772563,0.027038733427267786,-0.12134935085586122,0.014725664953138907,-0.0008000054553121047,6.400087285291278e-07,-0.10082145850660205,0.01016496649539848,-87.97997943,7740.476780503223,-169.6824089,28792.119890106802,230.90841897800001,53318.6979549196,2.536595242601586,6.434315424788999,0.003836,1.4714896e-05,0.65508,0.4291298064,-0.264506,0.069963424036,-0.1952,0.038103040000000005,89.72408031097548,8050.410587650378,90.34332949469388,8161.917184186825,207.04921753773354,42869.378482987704
II,cl_benzopiperidine.log,16.73073174,-6.5,69,-0.03203,0.0010259209000000001,-0.32871,0.1080502641,0.18374829804945092,0.03376343703606985,0.26578755163233525,0.07064302260271128,-0.24114674216056867,0.058151751254655784,-0.2461173133927685,0.06057373195167422,-0.14808974752029344,0.021930573320624258,-0.21862361475398195,0.04779628492809752,-62.54448909,3911.813115529129,-188.7863234,35640.275902889385,241.95,58539.8025,2.990221904141731,8.941427036009,0.410743,0.168709812049,0.59413,0.3529904569000001,-0.539049,0.290573824401,-0.55016,0.30267602559999995,118.32316508891489,14000.371396658607,73.83048703052317,5450.94081516425,116.96942899632487,13681.847319726285
V,cl_biphenylene.log,19.49491329,-2.3,86,-0.08174,0.006681427599999999,-0.3318,0.11009123999999999,0.11145008310544845,0.012421121024211366,0.14611394201197758,0.021349284050279548,-0.04390005085041975,0.0019272144646694399,-0.13688734008103484,0.018738143874460888,-0.038591532454971995,0.001489306377223157,-0.15776168892685388,0.024888750493053412,-66.46517157,4417.619031829536,-187.6643355,35217.902818656556,275.967,76157.785089,3.981183515924504,15.849822187468996,0.441616,0.19502469145600002,0.57897,0.3352062609,-0.173952,0.030259298304,-0.54241,0.29420860809999994,149.2224616728863,22267.343067716025,40.314969135194545,1625.296736371689,99.80642448589865,9961.322368659388
VIII,cl_dibenzofuran.log,52.5025668,12.1,108,-0.04591,0.0021077281,-0.33162,0.10997182440000002,0.05602637164168215,0.003138954319331886,0.07291086671906225,0.005315994485724859,-0.053332327088536496,0.002844337112678644,-0.06907345268121688,0.004771141865304308,-0.0662634359954349,0.004390842949921097,-0.11168487076982415,0.012473510358872323,-28.5403497,814.5515609982901,-185.1630806,34285.36641728209,291.966,85244.145156,5.619016435031401,31.573345697152998,0.442235,0.19557179522499998,0.57551,0.3312117601,-0.42097,0.1772157409,-0.54522,0.29726484840000006,34.95763508447738,1222.0362506994838,160.99780446374135,25920.293042145095,150.23302769445291,22569.962610242255
II,cl_dimethylaniline.log,18.08050575,-4.1,46,-0.03174,0.0010074275999999997,-0.31633,0.1000646689,0.17128303742091017,0.029337878908132914,0.25451362626763524,0.06477718595590151,-0.12459878688564181,0.015524857693373586,-0.21940244811865509,0.04813743424045914,-0.07437912880779132,0.005532254802206013,-0.19461460330154084,0.03787484381821611,-61.77641685,3816.3256788249637,-185.4529903,34392.811611211895,201.885,40757.553224999996,3.0322916368492656,9.194792570905998,0.393728,0.155021737984,0.58505,0.34228350249999995,-0.286415,0.08203355222499999,-0.50434,0.2543588356,123.44906316407086,15239.671196086758,64.62255565902278,4176.074699903497,124.5231238714525,15506.008378705103
I,cl_indole.log,46.18730616,19.4,4,-0.03743,0.0014010048999999998,-0.3086,0.09523395999999999,0.21900393404109145,0.047962723125474734,0.30946811079774256,0.09577051160072386,-0.08591045567604497,0.007380606394465687,-0.225409193490005,0.05080930450981451,-0.04282896957776165,0.001834320635092833,-0.1587914870394768,0.025214736356208325,-66.24679809,4388.638257177227,-164.7401402,27139.31379311566,225.90699999999998,51033.97264899999,2.630933623640285,6.921811732001,0.378976,0.143622808576,0.53552,0.2867816704,-0.148664,0.022100984895999997,-0.39006,0.15214680360000002,178.62571456875773,31907.145905199308,1.3742993424246768,1.888698682588899,179.48437109750017,32214.639468265155
I,cl_metriazole.log,30.34832625,-3.7,19,-0.03909,0.0015280280999999999,-0.49088,0.24096317439999998,0.16118220540290668,0.025979703338544796,0.3316866533001204,0.11001603597743428,-0.21453811263653955,0.04602660177364853,-0.13699876074901807,0.018768660446766693,-0.07287845727490634,0.005311269534770349,-0.09576840541251928,0.009171587475256654,-65.68203909,4314.130259020289,-178.3614997,31812.8245752331,163.796,26829.129616,2.5642234611948314,6.575241958942001,0.264953,0.070200092209,0.54523,0.29727575289999997,-0.35266,0.12436907559999998,-0.2252,0.05071504,90.68155481605308,8223.14438385684,89.17932614660596,7952.952211962717,206.48875176283642,42637.60460457428
III,cl_naphthalene.log,41.38246209,20.4,77,0.06526,0.0042588676,-0.46201,0.21345324009999997,0.4214947494432253,0.17765782380820727,0.7947505382583018,0.6316284180618604,-0.19371069751498682,0.03752383433174272,-0.782082222130415,0.6116526021724478,-0.05036530372279401,0.0025366638190892883,-0.38341484860887926,0.1470069461337698,-37.57774872,1412.0871988634617,-163.4468421,26714.87019246233,251.945,63476.283025,1.7025186973545985,2.8985699148419988,0.305433,0.093289317489,0.57591,0.3316723281,-0.140371,0.019704017641,-0.56673,0.32118289289999996,164.43353243918924,27038.3865904299,176.9384022015915,31307.198173652156,15.57203066394808,242.4881389989393
