labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
68,II,h_benzopiperidine.log,-2.6,9.26022519,-49.30151805,-192.7565791,0.06005,-0.32167,2.991019786945081,173.06600000000003,51.63196178252162,139.68189415931747,128.31755896982403,0.42384,-0.54471,0.526196,-0.580934,0.18950617247171236,-0.24354923368975662,0.23527130504417978,-0.2597456087171615,-0.15437536549084627,-0.20440195574648184
82,V,h_biphenylene.log,4.2,13.34657031,-53.00633709,-188.2830604,0.0544,-0.40019,3.9121799130956387,207.08300000000003,30.115002990035414,131.3035311519156,137.4263516487963,0.44587,-0.54931,0.498485,-0.343538,0.1165280840184548,-0.14356211862690335,0.13027900949142002,-0.0897836251094084,-0.12520939994612798,-0.08754635202576565
104,VIII,h_dibenzofuran.log,21.1,50.67965025,-54.13773762,-186.6201589,0.03131,-0.33078,5.570292619126755,223.08200000000005,160.3218875209117,151.74750654044638,34.00820122320531,0.45381,-0.54638,0.514849,-0.418273,0.05850298593382842,-0.0704366617186161,0.06637183800499245,-0.05392172811418923,-0.08902681591577541,-0.07731997239698322
42,II,h_dimethylaniline.log,-0.3,10.00821711,-48.9155994,-188.6790192,0.05974,-0.31053,3.0328821090471023,133.00100000000003,45.79095868784191,143.74736496527214,134.6239084257378,0.40638,-0.5001,0.44172,-0.319824,0.17671819170457262,-0.21747322129892407,0.19208612539924164,-0.13907849535834252,-0.13401815876308676,-0.09316066513669156
10,I,h_dimethylimidazole.log,-4.0,24.17174532,-43.50081561,-196.1407406,0.0598,-0.43835,2.5941318634926795,107.95099999999998,84.71487671631141,209.30913915121943,94.59831917933519,0.39392,-0.49719,0.365323,-0.710662,0.2341444814322449,-0.2955277587411095,0.21714653835873277,-0.4224146665911912,-0.15099701565386728,-0.20016035227789236
12,I,h_fnmeimidazole.log,4.1,27.37392885,-48.69095082,-183.6639592,0.05388,-0.46498,2.6004820807275335,111.91440316299997,84.18206851416399,209.16344838859555,95.07287198201264,0.40085,-0.51882,0.389959,-0.673631,0.2371014163278296,-0.3068802714711352,0.23065942674263218,-0.39845045324268974,-0.15994649495282562,-0.2020305950775927
2,I,h_indole.log,22.6,42.8075373,-54.11012718,-165.8238499,0.0468,-0.29986,2.6123910166192577,157.02299999999997,179.96585968765322,180.01118272241084,0.0359251193427435,0.36769,-0.39502,0.434679,-0.067215,0.2155090173209659,-0.23152756948007272,0.2547723466508747,-0.03939579156144774,-0.11119690955603119,-0.022367975390460634
16,I,h_meimidazolamine.log,-2.0,24.7666248,-43.09795419,-198.6099924,0.05953,-0.43972,2.601140679600009,108.939,86.59779626908183,209.10951302385703,92.79981417358346,0.38536,-0.54826,0.371938,-0.732392,0.22782372180968494,-0.32412973250824645,0.21988867407735777,-0.4329880404391706,-0.16244986305968598,-0.2094499677256126
15,I,h_meimidazolecarboxylic.log,0.3,26.73386865,-47.56080531,-190.1141345,0.05592,-0.45875,2.594817933302258,137.933,92.98516521060773,211.0059784669654,87.4456924536176,0.40547,-0.4869,0.425426,-0.673269,0.24088232639872428,-0.28925840314582796,0.2527378217636414,-0.39997682445592203,-0.15216739522741932,-0.22076781104212884
8,I,h_meimidazolol.log,2.6,26.45211666,-45.3011418,-189.0843906,0.05672,-0.45329,2.6035040525731854,109.92299999999996,83.81886728949635,209.32653131640149,95.38573049818835,0.38741,-0.56187,0.351266,-0.764857,0.22862004294916832,-0.33157312287201984,0.20729059138014652,-0.4513606778089674,-0.1672162226787093,-0.20638973747435535
14,I,h_menitroimidazole.log,2.2,26.19797511,-58.26424338,-176.1514095,0.04771,-0.47723,2.5803957046596553,138.921,85.55873911537695,209.11991470259193,93.87012409030609,0.43017,-0.40968,0.403758,-0.592982,0.25842081404412554,-0.24611162818791954,0.24255403918643337,-0.3562286797161905,-0.13659303903022452,-0.1855693883877231
38,I,h_metriazole.log,-2.4,24.76411476,-51.902547,-181.7393861,0.05099,-0.48216,2.5719473171074094,94.91199999999996,90.734314802303,206.4754206113409,89.34360228161988,0.42419,-0.23117,0.359963,-0.348324,0.2565052631067326,-0.1397871747857879,0.21766756411911825,-0.21062952749095812,-0.07625350771981215,-0.0975010266952243
75,III,h_naphthalene.log,23.4,34.61915931,-22.15794549,-164.5004314,0.1406,-0.41657,1.7004895182664317,183.06100000000004,176.3948210994048,5.542643575443383,174.45982120999062,0.12504,-0.50569,0.362866,0.036639,0.172966117751027,-0.6995140441899937,0.5019475630505771,0.050682226393793,-0.0743685590775784,0.015636729578378895
11,I,h_nmeimidazole.log,-3.5,23.75947125,-45.67451025,-193.2083863,0.05822,-0.4465,2.5919448946231474,93.92399999999996,94.03166316048367,208.61904292460184,86.45443801652412,0.40435,-0.48401,0.387226,-0.637846,0.24074978646358877,-0.2881793103653805,0.2305541654832438,-0.3797731873294281,-0.1510135835881302,-0.19058318385423154
60,II,h_quinoline.log,-2.1,8.28319212,-51.44007213,-192.180525,0.06013,-0.42057,2.9576137363714348,140.98000000000002,42.97852277058324,243.0448077925126,108.81486925627769,0.4658,-0.46304,0.569711,-0.603593,0.21299851044043333,-0.21173643253400226,0.2605143717937521,-0.27600774991900495,-0.14585003399707847,-0.23253447020088788
90,VI,h_xanthene.log,8.3,15.50645973,-49.61464554,-192.4629045,-0.04326,-0.32649,4.338613648161242,265.163,14.50304860065338,136.7791278078769,111.64698690218697,0.45577,-0.52521,0.499628,-0.365177,0.09685092445920859,-0.11160689390530518,0.10617073016149697,-0.07759995182052441,-0.11034629082561895,-0.08410643074122338
50,II,ipr_dimethylaniline.out,7.4,12.00809148,-38.33138823,-188.6520362,0.13039,-0.34477,2.664864074385033,217.163,177.49314181103276,70.71769377038531,109.30138164234444,1.27791,-0.57882,0.254459,-0.285242,0.7197971717166717,-0.32602687116701795,0.14332689197036766,-0.1606657627335312,-0.5551351555299833,-0.054473618204898294
