labels,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E_p(LA),E_p(LB),d,Mw,γ,λ,Φ,q_la(NPA),q_lb(NPA),q_la(ESP),q_lb(ESP),EF_la(NPA),EF_lb(NPA),EF_la(ESP),EF_lb(ESP),EP(NPA),EP(ESP)
33,perfluorophenyl_metriazole.log,-7.8,24.42714189,-69.18166236,-177.5344416,0.04273,-0.4936,2.5520131933800814,427.01203162999997,67.42004239018189,150.21121723214728,112.42949775774919,0.85735,-0.21919,0.722992,-0.260446,0.08015989463685146,-0.020493669219631975,0.06759778683534906,-0.02435099308169291,-0.05746168824769425,-0.05757721792331972
89,ph_biphenylene.log,8.1,18.47081697,-49.38560439,-196.1281904,0.09318,-0.31725,3.950544866538286,359.279,33.73153691430318,78.77085819303862,45.10064287243983,0.99164,-0.55154,0.491622,-0.156738,0.060418209740874265,-0.03360398874640171,0.029953330956020423,-0.009549664554036899,-0.13500130273527872,-0.0190200878254946
107,ph_dibenzofuran.log,25.2,55.27867104,-51.52980606,-187.7961126,0.08527,-0.3259,5.535068239675009,375.27799999999996,0.17996152582978917,116.43857199815504,116.43835035881499,0.91801,-0.5486,0.363585,-0.391928,0.0638648137082501,-0.038165419549183566,0.025294156155286015,-0.027265943406985814,-0.1328343313972483,-0.03758541655788548
51,ph_dimethylaniline.log,5.7,16.41823176,-44.41698021,-193.7160419,0.09368,-0.30416,3.023326232930214,285.1969999999999,65.73777051452103,120.05161471233347,56.72045374170839,0.94788,-0.54795,0.287763,-0.181967,0.06294101676766932,-0.03638491173760857,0.019108005030293737,-0.012082951426512304,-0.13383955635607697,-0.01349328783925435
24,ph_metriazole.log,5.1,31.18165953,-46.53796401,-189.2839388,0.08267,-0.47505,2.607349330285261,247.10799999999998,65.06699403266279,150.07806951072914,115.4965016951945,0.84867,-0.24986,0.058305,-0.342416,0.07807137661542696,-0.022985275974325214,0.005363629695361529,-0.03149974488923614,-0.06431497119399117,-0.006055309458256704
99,ph_naphtoxanthene.log,13.5,30.42425496,-48.36213558,-197.515615,0.03416,-0.35489,4.609591500799827,449.35999999999996,20.567430896588405,93.26259840789128,16.404704815975816,1.0057,-0.56068,0.456238,-0.192693,0.042207502042425085,-0.02353077681728835,0.019147525421926954,-0.008086994323417538,-0.11551652472238148,-0.018010177498983156
96,ph_xanthene.log,12.3,21.21617322,-46.52164875,-195.446087,0.09875,-0.31641,4.037404267994103,417.359,13.345750476191965,54.54232368748376,167.86072343817378,0.99008,-0.56928,0.385893,-0.057755,0.0858204038805155,-0.04934534534694152,0.03344931027256764,-0.005006219119787464,-0.1659420103877611,-0.006561703798370676
72,tbu_benzopiperidine.log,5.6,12.50821695,-38.51964123,-192.1642097,0.13193,-0.34167,2.8797741849516605,285.2819999999999,27.153362127738884,80.11534528238374,77.48652338342276,1.39923,-0.59882,0.179678,-0.521994,0.08661164109655563,-0.037066660178412016,0.011121978837608487,-0.03231116898762566,-0.2084630006194264,-0.023334795310961175
83,tbu_biphenylene.log,11.1,16.04047074,-42.94044918,-185.3557262,0.102,-0.3318,3.972185966724745,319.2989999999999,47.87341175582267,75.75024492116624,45.983189871898865,1.39082,-0.52397,0.273673,-0.20236,0.08165626034957317,-0.030762737619077853,0.016067581526472686,-0.011880732836987984,-0.17657801439960238,-0.01341886869519245
109,tbu_dibenzofuran.log,32.4,55.57360074,-43.62192504,-185.8062784,0.13166,-0.73826,5.495511676766232,335.29799999999994,85.47934532105164,77.74617648711072,119.0305193682907,1.33691,-0.51856,0.244701,-0.382968,0.07475172292346584,-0.028994661898850665,0.01368216360943894,-0.021413197466212282,-0.16393085465506316,-0.022159387319708432
53,tbu_dimethylaniline.log,7.0,12.34318182,-38.77692033,-185.3023879,0.13855,-0.32932,3.013642445191699,245.21700000000004,87.05308226737924,106.25983454915675,107.20643360660175,1.40122,-0.54384,0.173283,-0.039257,0.09031743831670912,-0.03505390706253057,0.011169178761246847,-0.0025303604544604347,-0.19346843409760772,-0.0017270531690496318
80,tbu_indenoPy.log,15.8,20.42551062,-32.94484239,-188.7122772,0.15076,-0.55563,2.839534937360518,291.24499999999995,82.977673523908,17.421102633625345,13.529417722446683,1.38753,-0.49473,0.009775,-0.348647,0.09189482093675605,-0.03276550760130687,0.000647389155302437,-0.02309056642749143,-0.17665866950610415,-0.0008770553976152609
5,tbu_indole.log,26.6,46.28519772,-47.91974103,-168.461902,0.13787,-0.30788,2.5848570649266085,269.239,81.02985660590227,152.95232250550447,80.93128517467203,1.32674,-0.45088,0.28848,-0.0528,0.7113662811023839,-0.24175108071170148,0.15467608180383172,-0.028310098167090663,-0.43802663638152395,-0.011153299341210045
26,tbu_metriazole.log,3.4,23.90819112,-45.95124216,-188.1751286,0.10663,-0.47055,2.6102861696086124,207.12800000000001,45.02541559406387,133.48747548899297,42.325905108676075,1.24101,-0.27596,0.109908,-0.165609,0.09704683486698837,-0.021580039282434557,0.00859479256940795,-0.012950604165548286,-0.09576889238667541,-0.0050899824761695385
78,tbu_naphthalene.log,15.7,22.37832174,-31.77390873,-181.6289443,0.16054,-0.41859,1.8907234277133182,295.27699999999993,20.005130533356976,21.02124164192576,159.29759749980704,1.07278,-0.55771,-0.092076,-0.136094,0.12604678136168027,-0.06552839392347239,-0.010818512127983437,-0.015990427359418066,-0.20508299254206674,0.004295324400159202
100,tbu_naphtoxanthene.log,22.8,30.2698875,-41.45074044,-191.0384568,0.11777,-0.34083,4.508684137043313,409.37999999999994,4.497317378083503,56.71328415247322,144.99558605115152,1.39611,-0.53776,0.25251,-0.114841,0.06172746459943562,-0.02377646558150325,0.011164451286792222,-0.0050775682160172095,-0.15786561055061604,-0.006097544072672847
9,tbu_nmeimidazole.log,1.6,21.82109286,-39.65480682,-197.1911923,0.11099,-0.43771,2.624530960900252,206.14000000000001,9.297360331244931,127.91682159826264,21.499837299134644,1.21484,-0.52018,0.126375,-0.488974,0.10871563929847303,-0.04655074022116468,0.011309257940423865,-0.043758125358344765,-0.18904239200972126,-0.01848559382447624
64,tbu_quinoline.log,11.0,16.91521968,-34.85812038,-188.2943555,0.15328,-0.41895,2.672042077282841,253.19600000000003,40.30526840697634,66.06484950668474,61.57846075548241,1.38442,-0.45273,0.159225,-0.486077,0.6645828888837878,-0.2173304425567077,0.07643504896095196,-0.2333384788431003,-0.4342579559323017,-0.053623724435576836
