,file_name,free_ener_barr,free_ener_reac,labels,family,EF_la(ESP),EF_la(ESP)$^2$,EF_la(NPA),EF_la(NPA)$^2$,EF_lb(ESP),EF_lb(ESP)$^2$,EF_lb(NPA),EF_lb(NPA)$^2$,EP(ESP),EP(ESP)$^2$,EP(NPA),EP(NPA)$^2$,E_p(LA),E_p(LA)$^2$,E_p(LB),E_p(LB)$^2$,FEHA,FEHA$^2$,FEPA,FEPA$^2$,Mw,Mw$^2$,d,d$^2$,q_la(ESP),q_la(ESP)$^2$,q_la(NPA),q_la(NPA)$^2$,q_lb(ESP),q_lb(ESP)$^2$,q_lb(NPA),q_lb(NPA)$^2$,Φ,Φ$^2$,γ,γ$^2$,λ,λ$^2$
42,f_indenoPy.log,22.84958175,8.8,81,IV,0.06501995164602148,0.004227594112050971,0.08843848520996177,0.007821365666232627,-0.037248209859031184,0.001387429137702428,-0.032102809675774106,0.0010305903890789755,-0.1380977342202754,0.019070984196773826,-0.1618895607825364,0.02620822989036255,0.05711,0.0032615521,-0.43681,0.19080297609999997,-42.84381264,1835.592281531424,-193.6564285,37502.81229937561,215.009806326,46229.21681634402,2.872288396007267,8.250040629837999,0.963244,0.927839003536,1.31018,1.7165716323999998,-0.551817,0.30450200148900003,-0.47559,0.2261858481,13.536606224595268,183.23970807975135,70.22081336959099,4930.962630286928,16.43795490120274,270.20636133397517
43,f_metriazolamine.log,37.31431476,10.3,29,I,0.06790335935028934,0.004610866211054526,0.11148788454559447,0.012429548400451802,-0.025695194254310123,0.000660243007766732,-0.019699153921602035,0.00038805666522696885,-0.06403397126028404,0.004100349475362882,-0.08060138779306272,0.006496583714167681,0.0394,0.0015523599999999998,-0.48135,0.2316978225,-44.91271311,2017.1517989011656,-182.0261581,33133.522232646195,145.907806326,21289.08794686553,2.564711204668471,6.577743563352,0.749899,0.562348510201,1.23123,1.5159273129000002,-0.283768,0.08052427782400001,-0.21755,0.047328002499999994,91.6792442392146,8405.083824273563,87.78132881213753,7705.561688024606,151.16261833557627,22850.137182067097
44,f_metriazole.log,35.79636807,10.0,20,I,0.06469257098974192,0.0041851287412627974,0.10825419618393407,0.011718970991429687,-0.0273625571400639,0.0007487095332432619,-0.020452379072547572,0.00041829980972718186,-0.06933172742612645,0.004806888427890695,-0.08671804960987615,0.007520020128140942,0.03772,0.0014227983999999998,-0.49068,0.2407668624,-46.67601621,2178.6504892361827,-177.2332368,31411.620226604868,130.89280632600003,17132.92674789575,2.562845782996121,6.568178507421001,0.746108,0.556677147664,1.24851,1.5587772201,-0.315576,0.09958821177600001,-0.23588,0.055639374400000004,89.27524061671838,7970.068587172963,89.19309055666876,7955.407403050114,153.63743552176948,23604.461593705873
45,f_nmeimidazole.log,34.0286724,10.4,7,I,0.06504616828698258,0.004231004008818458,0.10212777668677298,0.01043008277098337,-0.0494351306390235,0.00244383214129732,-0.03989289219885818,0.0015914428479897197,-0.13645726748246922,0.018620585848782154,-0.17289350023233477,0.029892162422588343,0.04863,0.0023648769,-0.45481,0.2068521361,-39.791604,1583.371748892816,-189.1283163,35769.52002647284,129.90480632599997,16875.258706595563,2.5751133755349493,6.631208896859001,0.791373,0.626271225129,1.24252,1.5438559504000002,-0.601444,0.361734885136,-0.48535,0.23556462250000001,88.52096912070412,7835.961974068653,88.29165901876979,7795.417052286713,150.61456165687832,22684.7461830936
46,f_pyrazole.log,28.98725706,-2.2,1,I,0.01057720356011201,0.00011187723515204616,0.01645723572222215,0.00027084060761678485,-0.006719455733264985,4.515108535130768e-05,-0.0034386467265588258,1.1824291310073727e-05,-0.05265429212963366,0.0027724744796728015,-0.04192501908302476,0.0017577072251119903,0.01829,0.00033452410000000003,-0.50637,0.25641057689999996,-55.68768732,3101.118519050089,-177.0424737,31344.037493815187,129.90480632600003,16875.258706595578,2.439278269346694,5.950078475307003,0.866011,0.7499750521209999,1.34744,1.8155945536,-0.550157,0.302672724649,-0.28154,0.0792647716,60.63127267283394,3676.151225927539,59.78091700342853,3573.75803777081,167.02103162797866,27896.025006074247
47,f_quinoline.log,23.22169518,8.0,61,II,0.5909996700206642,0.34928060996453403,0.8020658094373212,0.6433095626683453,-0.4001987507368042,0.16015904009129875,-0.2901974486615131,0.08421455920965153,-0.4734972309210531,0.2241996276899051,-0.46597012135187443,0.2171281539926806,0.04555,0.0020748025,-0.42649,0.1818937201,-44.75081553,2002.6354906000888,-190.0595412,36122.6292011545,176.960806326,31315.126975548086,2.9693256015703295,8.816894528140999,0.938765,0.881279725225,1.27403,1.6231524409,-0.63569,0.4041017761,-0.46096,0.2124841216,106.64256124694255,11372.635869307893,39.420725090063485,1553.9935666263607,112.87105070512474,12739.87408727884
48,f_tetramethylbenzopiperidine.log,20.73863811,7.6,49,II,0.05998657120134867,0.0035983887244944736,0.08733415522648796,0.007627254669124295,-0.06928933857586632,0.004801012440281036,-0.04347468767404532,0.0018900484683557878,-0.2344912120683457,0.054986128537281874,-0.21420357341749266,0.045883170864823165,0.04032,0.0016257024,-0.29862,0.0891739044,-42.71642811,1824.6932304767984,-194.2977437,37751.61320691089,265.15480632599997,70307.07131777855,2.9965176442005137,8.979117992004996,0.882385,0.7786032882249999,1.28466,1.6503513155999998,-1.019226,1.038821639076,-0.6395,0.40896024999999997,89.76031681359602,8056.914474477128,89.74209440118076,8053.64350751044,126.96340849693468,16119.707097159504
49,h_benzopiperidine.log,9.26022519,-2.6,68,II,0.03411803746231289,0.001164040480279786,0.027481373856940564,0.0007552259090649363,-0.03766719620660605,0.0014188176700669574,-0.035318467236726346,0.0012473941279517124,-0.07783816462336915,0.0060587798719347165,-0.058787574066918376,0.0034559788646734138,0.06005,0.0036060025,-0.32167,0.10347158890000001,-49.30151805,2430.6396820344758,-192.7565791,37155.09878633456,173.06600000000003,29951.84035600001,2.9910197869450816,8.946199365897002,0.526196,0.276882230416,0.42384,0.1796403456,-0.580934,0.33748431235599996,-0.54471,0.2967089841,51.682441030175966,2671.0747108376163,51.631961782521614,2665.8594775117726,139.68189415931747,19511.031555934765
50,h_biphenylene.log,13.34657031,4.2,82,V,0.029313039598855044,0.0008592542905240439,0.02621905366448639,0.0006874387750612171,-0.02020149652990855,0.0004081004620479072,-0.03230176591481602,0.0010434040812155698,-0.04152706689912498,0.0017244972852444014,-0.05939229913808254,0.00352744519690748,0.0544,0.00295936,-0.40019,0.1601520361,-53.00633709,2809.67177169871,-188.2830604,35450.51083359005,207.08300000000003,42883.36888900001,3.9121799130956383,15.305151672428996,0.498485,0.24848729522500002,0.44587,0.1988000569,-0.343538,0.11801835744400001,-0.54931,0.30174147609999996,42.57364835120368,1812.5155339319479,30.115002990035407,906.9134050898415,131.30353115191562,17240.617292962077
51,h_dibenzofuran.log,50.67965025,21.1,104,VIII,0.031610617676158796,0.0009992311498682829,0.027862954784058282,0.0007763442492984763,-0.025681059664600627,0.0006595168254967772,-0.033546553039628405,0.0011253712208406017,-0.05336005383902545,0.002847295345703695,-0.06143917985371826,0.00377477282109754,0.03131,0.0009803160999999998,-0.33078,0.10941540840000001,-54.13773762,2930.8946346119637,-186.6201589,34827.08370786125,223.08200000000005,49765.57872400002,5.5702926191267546,31.028159862698,0.514849,0.265069492801,0.45381,0.2059435161,-0.418273,0.17495230252900001,-0.54638,0.29853110439999997,145.99179877679467,21313.605310084105,19.678112479088302,387.22811073965073,151.74750654044638,23027.305741242817
